family_id	final_status	n	total_n	prop
OG0000432	A	2	23	0.08695652173913043
OG0000432	F	4	23	0.17391304347826086
OG0000432	P	17	23	0.7391304347826086
OG0000434	F	2	165	0.012121212121212121
OG0000434	P	89	165	0.5393939393939394
OG0000434	U	74	165	0.4484848484848485
OG0000440	A	42	224	0.1875
OG0000440	F	3	224	0.013392857142857142
OG0000440	P	85	224	0.3794642857142857
OG0000440	U	94	224	0.41964285714285715
OG0000442	U	23	23	1.0
OG0000445	P	38	38	1.0
OG0000448	A	22	193	0.11398963730569948
OG0000448	F	10	193	0.05181347150259067
OG0000448	P	116	193	0.6010362694300518
OG0000448	U	45	193	0.23316062176165803
OG0000452	P	1	10	0.1
OG0000452	U	9	10	0.9
OG0000453	U	23	23	1.0
OG0000473	P	12	22	0.5454545454545454
OG0000473	U	10	22	0.45454545454545453
OG0000496	A	4	42	0.09523809523809523
OG0000496	P	9	42	0.21428571428571427
OG0000496	U	29	42	0.6904761904761905
OG0000500	P	38	40	0.95
OG0000500	U	2	40	0.05
OG0000501	A	1	196	0.00510204081632653
OG0000501	P	177	196	0.9030612244897959
OG0000501	U	18	196	0.09183673469387756
OG0000503	A	42	42	1.0
OG0000504	A	15	37	0.40540540540540543
OG0000504	P	22	37	0.5945945945945946
OG0000510	A	10	60	0.16666666666666666
OG0000510	F	2	60	0.03333333333333333
OG0000510	P	16	60	0.26666666666666666
OG0000510	U	32	60	0.5333333333333333
OG0000513	A	39	222	0.17567567567567569
OG0000513	F	5	222	0.02252252252252252
OG0000513	P	65	222	0.2927927927927928
OG0000513	U	113	222	0.509009009009009
OG0000534	U	23	23	1.0
OG0000535	F	2	140	0.014285714285714285
OG0000535	P	94	140	0.6714285714285714
OG0000535	U	44	140	0.3142857142857143
OG0000546	F	3	109	0.027522935779816515
OG0000546	P	49	109	0.44954128440366975
OG0000546	U	57	109	0.5229357798165137
OG0000549	F	2	127	0.015748031496062992
OG0000549	P	58	127	0.4566929133858268
OG0000549	U	67	127	0.5275590551181102
OG0000589	A	26	60	0.43333333333333335
OG0000589	P	13	60	0.21666666666666667
OG0000589	U	21	60	0.35
OG0000591	F	4	131	0.030534351145038167
OG0000591	P	47	131	0.35877862595419846
OG0000591	U	80	131	0.6106870229007634
OG0000594	A	2	210	0.009523809523809525
OG0000594	F	30	210	0.14285714285714285
OG0000594	P	51	210	0.24285714285714285
OG0000594	U	127	210	0.6047619047619047
OG0000598	A	10	173	0.057803468208092484
OG0000598	F	5	173	0.028901734104046242
OG0000598	P	83	173	0.4797687861271676
OG0000598	U	75	173	0.43352601156069365
OG0000599	A	160	407	0.3931203931203931
OG0000599	F	1	407	0.002457002457002457
OG0000599	P	229	407	0.5626535626535627
OG0000599	U	17	407	0.04176904176904177
OG0000601	F	3	21	0.14285714285714285
OG0000601	P	16	21	0.7619047619047619
OG0000601	U	2	21	0.09523809523809523
OG0000605	A	7	262	0.026717557251908396
OG0000605	F	12	262	0.04580152671755725
OG0000605	P	175	262	0.6679389312977099
OG0000605	U	68	262	0.2595419847328244
OG0000606	A	1	169	0.005917159763313609
OG0000606	F	2	169	0.011834319526627219
OG0000606	P	106	169	0.6272189349112426
OG0000606	U	60	169	0.35502958579881655
OG0000618	P	21	21	1.0
OG0000620	A	3	114	0.02631578947368421
OG0000620	F	4	114	0.03508771929824561
OG0000620	P	85	114	0.7456140350877193
OG0000620	U	22	114	0.19298245614035087
OG0000621	A	16	37	0.43243243243243246
OG0000621	P	21	37	0.5675675675675675
OG0000639	A	21	149	0.14093959731543623
OG0000639	F	3	149	0.020134228187919462
OG0000639	P	83	149	0.5570469798657718
OG0000639	U	42	149	0.28187919463087246
OG0000679	A	5	37	0.13513513513513514
OG0000679	F	4	37	0.10810810810810811
OG0000679	P	19	37	0.5135135135135135
OG0000679	U	9	37	0.24324324324324326
OG0000692	A	22	104	0.21153846153846154
OG0000692	F	14	104	0.1346153846153846
OG0000692	P	10	104	0.09615384615384616
OG0000692	U	58	104	0.5576923076923077
OG0000712	P	13	153	0.08496732026143791
OG0000712	U	140	153	0.9150326797385621
OG0000720	A	44	431	0.10208816705336426
OG0000720	F	24	431	0.05568445475638051
OG0000720	P	202	431	0.46867749419953597
OG0000720	U	161	431	0.37354988399071926
OG0000724	A	68	128	0.53125
OG0000724	P	32	128	0.25
OG0000724	U	28	128	0.21875
OG0000725	A	4	105	0.0380952380952381
OG0000725	F	1	105	0.009523809523809525
OG0000725	P	94	105	0.8952380952380953
OG0000725	U	6	105	0.05714285714285714
OG0000728	A	17	51	0.3333333333333333
OG0000728	F	7	51	0.13725490196078433
OG0000728	P	13	51	0.2549019607843137
