"gene","assembly","group","window","repeat_class","n_te_class"
"AL3G20260","73_3a","Family","pm1kb","DNA/Helitron",5
"AL3G23410","73_3a","Family","pm1kb","LTR/Copia",1
"AL3G28900","73_3a","Family","pm1kb","LTR/Ty3",9
"AL3G29100","73_3a","Family","pm1kb","DNA/Helitron",4
"AL3G29460","73_3a","Family","pm1kb","LINE/L1",1
"AL3G29470","73_3a","Family","pm1kb","DNA/Helitron",2
"AL3G30600","73_3a","Family","pm1kb","LINE/unknown",1
"AL3G30600","73_3a","Family","pm1kb","LTR/Copia",1
"AL3G30600","73_3a","Family","pm1kb","LTR/unknown",1
"AL3G30730","73_3a","Family","pm1kb","LINE/unknown",1
"AL3G31620","73_3a","Family","pm1kb","SINE/unknown",1
"AL3G33690","73_3a","Family","pm1kb","DNA/Helitron",2
"AL3G33690","73_3a","Family","pm1kb","LTR/Copia",1
"AL3G33690","73_3a","Family","pm1kb","LTR/unknown",1
"AL3G33690","73_3a","Family","pm1kb","SINE/tRNA",1
"AL3G34960","73_3a","Family","pm1kb","DNA/Helitron",2
"AL3G34960","73_3a","Family","pm1kb","LTR/Copia",1
"AL3G34990","73_3a","Family","pm1kb","LTR/Copia",1
"AL3G37430","73_3a","Family","pm1kb","LTR/unknown",1
"AL3G37620","73_3a","Family","pm1kb","DNA/Helitron",9
"AL3G37720","73_3a","Family","pm1kb","LTR/Ty3",4
"AL3G38140","73_3a","Family","pm1kb","LTR/Ty3",7
"AL3G39750","73_3a","Family","pm1kb","DNA/Helitron",2
"AL3G40240","73_3a","Family","pm1kb","LINE/L1",8
"AL3G40240","73_3a","Family","pm1kb","LTR/Copia",2
"AL3G40240","73_3a","Family","pm1kb","SINE/tRNA",3
"AL3G40330","73_3a","Family","pm1kb","DNA/Helitron",1
"AL3G40330","73_3a","Family","pm1kb","DNA/MULE-MuDR",5
"AL3G40700","73_3a","Family","pm1kb","DNA/Helitron",2
"AL3G40730","73_3a","Family","pm1kb","DNA/Helitron",1
"AL3G40910","73_3a","Family","pm1kb","LTR/Copia",1
"AL3G41020","73_3a","Family","pm1kb","LTR/Copia",1
"AL3G41050","73_3a","Family","pm1kb","LINE/L1",1
"AL3G41050","73_3a","Family","pm1kb","LTR/Copia",1
"AL3G41320","73_3a","Family","pm1kb","LINE/L1",1
"AL3G41320","73_3a","Family","pm1kb","LINE/unknown",1
"AL3G41330","73_3a","Family","pm1kb","LINE/L1",1
"AL3G41330","73_3a","Family","pm1kb","LINE/unknown",1
"AL3G41340","73_3a","Family","pm1kb","LINE/L1",1
"AL3G41340","73_3a","Family","pm1kb","LINE/unknown",1
"AL3G41350","73_3a","Family","pm1kb","LINE/L1",2
