"og","gene","pseu"
"OG0000126","AL4G23850","AL4G23850_WS1_v2_s_scaffold_4_copy_1"
"OG0000126","AL4G23910","AL4G23910_TE4_v1_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_al1_v2_s_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_AL27_v1_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_BAM12_v2_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_BOR_v1_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_KN003hexa_v0_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_KN005_v1_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_Nla_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_NT1_v2_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_NT8_v2_fix_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_NT9_v2_scaffold_4_copy_1"
"OG0000126","AL4G23920","AL4G23920_TE4_v1_scaffold_4_copy_1"
"OG0000126","AL4G23930","AL4G23930_NT8_v2_fix_scaffold_4_copy_1"
"OG0000126","AL6G16010","AL6G16010_NT8_v2_fix_scaffold_6_copy_1"
"OG0000126","AL84U1001",NA
"OG0000200","AL4G22240","AL4G22240_AL27_v1_scaffold_4_copy_1"
"OG0000200","AL7G47540","AL7G47540_MN47_mabs_v3_scaffold_7_copy_1"
"OG0000200","AL7G47540","AL7G47540_NT12_v2_scaffold_7_copy_1"
"OG0000200","AL7G47540","AL7G47540_NT9_v2_scaffold_7_copy_1"
"OG0000200","AL7G47540","AL7G47540_PU6_v3_fin_scaffold_7_copy_1"
"OG0000200","AL7G47550","AL7G47550_NT8_v2_fix_scaffold_7_copy_2"
"OG0000200","AL7G47550","AL7G47550_WS1_v2_s_scaffold_7_copy_2"
"OG0000200","AL7G47570","AL7G47570_F1-14_scaffold_4_copy_1"
"OG0000200","AL7G47570","AL7G47570_MN47_mabs_v3_scaffold_7_copy_1"
"OG0000200","AL7G47570","AL7G47570_PU6_v3_fin_scaffold_7_copy_2"
"OG0000200","AL7G47570","AL7G47570_WS1_v2_s_scaffold_7_copy_1"
"OG0000200","AL7G47570","AL7G47570_WS1_v2_s_scaffold_7_copy_3"
