family_id	species	n_assemblies	max_copy	min_copy	median_copy	mean_copy	sd_copy	var_copy	cv	dispersion
OG0000261	AT	133	17	11	15	14.812030075188	1.12243226116626	1.25985418090681	0.0757784216929508	0.0850561452084294
OG0000264	AL	21	12	6	9	9.71428571428571	1.41925533794512	2.01428571428571	0.146099814200233	0.207352941176471
OG0000264	AT	133	8	1	6	6.33834586466165	0.869406084679343	0.755866940077465	0.137166084534226	0.119253028505697
OG0000266	AL	21	9	3	4	4.80952380952381	1.40068010691405	1.96190476190476	0.29123051727916	0.407920792079208
OG0000266	AT	133	4	1	3	3.03759398496241	0.732430729350482	0.536454773296879	0.241121997533698	0.176605160516052
OG0000269	AL	21	2	1	1	1.47619047619048	0.511766315719159	0.261904761904762	0.346680407422656	0.17741935483871
OG0000269	AT	133	17	10	14	14.0225563909774	1.56411542148276	2.44645705172021	0.111542815580272	0.174465838004712
OG0000271	AL	21	4	3	3	3.0952380952381	0.300792603759119	0.0904761904761905	0.0971791489067923	0.0292307692307692
OG0000271	AT	133	9	8	9	8.89473684210526	0.308052482116987	0.0948963317384366	0.0346331192912589	0.010668818361126
OG0000272	AL	21	1	1	1	1	0	0	0	0
OG0000272	AT	133	1	1	1	1	0	0	0	0
OG0000276	AL	21	11	3	7	7.28571428571429	2.79540439190571	7.81428571428571	0.383682955751764	1.07254901960784
OG0000276	AT	133	10	2	7	6.84962406015038	1.8647294084369	3.47721576668945	0.272238212208681	0.507650600405814
OG0000297	AL	21	3	2	2	2.47619047619048	0.511766315719159	0.261904761904762	0.206674858271199	0.105769230769231
OG0000297	AT	133	10	7	9	9.08270676691729	0.409084580088254	0.167350193665983	0.0450399413507763	0.0184251454946819
OG0000298	AL	21	5	5	5	5	0	0	0	0
OG0000298	AT	133	10	8	10	9.91729323308271	0.390126490403392	0.152198678514468	0.0393380009277112	0.0153467962414133
OG0000299	AL	21	15	11	13	12.6666666666667	1.06458129484475	1.13333333333333	0.08404589169827	0.0894736842105263
OG0000299	AT	133	5	4	5	4.88721804511278	0.317522018762762	0.10082023239918	0.0649698899929958	0.0206293706293706
OG0000319	AL	21	2	1	2	1.52380952380952	0.511766315719159	0.261904761904762	0.335846644690698	0.171875
OG0000319	AT	133	2	1	2	1.97744360902256	0.149045722775883	0.0222146274777853	0.0753729320501613	0.0112340131351538
OG0000320	AL	21	2	1	2	1.66666666666667	0.483045891539648	0.233333333333333	0.289827534923789	0.14
OG0000320	AT	133	1	1	1	1	0	0	0	0
OG0000325	AL	21	4	2	4	3.76190476190476	0.538958431120797	0.290476190476191	0.143267431057427	0.0772151898734177
OG0000325	AT	133	10	8	9	9.33834586466165	0.650025850827591	0.422533606744134	0.0696082432850802	0.0452471575659982
OG0000329	AL	21	1	0	0	0.476190476190476	0.511766315719159	0.261904761904762	1.07470926301023	0.55
OG0000329	AT	133	17	12	14	13.984962406015	1.09395697110837	1.19674185463659	0.0782238049233402	0.085573476702509
OG0000338	AL	21	14	13	14	13.6190476190476	0.497613351528119	0.247619047619048	0.0365380432940227	0.0181818181818182
OG0000338	AT	133	2	1	1	1.00751879699248	0.0867109969524119	0.00751879699248118	0.0860638999602297	0.00746268656716416
OG0000339	AL	21	11	8	10	9.66666666666667	1.06458129484475	1.13333333333333	0.110129099466699	0.117241379310345
OG0000339	AT	133	3	3	3	3	0	0	0	0
