"accession","assembly","sample_name","location","latitude","longitude","pop_name","ID","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"GCA_946402385.1","AUZE-A-5.PacbioHiFiAssembly","AUZE-A-5","France",43.527792,1.491628,"AUZE-A-5",73,13.7500000000001,21.35,6.55000000000001,717.8,79.8,41.7,17.7,220.2,149.5,156.4,171.2,8.7,0.352999997138977,576.8,27.05,2.45000000000005,24.6,15.95,21.05
"GCA_946403025.1","FERR-A-8.PacbioHiFiAssembly","FERR-A-8","France",43.6577,2.4437,"FERR-A-8",74,11.2500000000001,18.65,4.45000000000005,1675.1,185.9,72.3,25.4,544.8,271.2,275.6,513.4,7.6,0.325999999046326,557.8,24.05,0.850000000000023,23.2,5.35000000000002,18.35
"GCA_946403525.1","BELC-C-10.PacbioHiFiAssembly","BELC-C-10","France",44.389212,2.336636,"BELC-C-10",75,11.45,19.05,4.35000000000002,1047.7,109.6,58.1,16.1,296.2,217.3,217.3,266.8,8.3,0.34300000667572,569,24.65,0.550000000000011,24.1,8.05000000000001,19.05
"GCA_946404075.1","ANGE-B-10.PacbioHiFiAssembly","ANGE-B-10","France",43.9121,1.6569,"ANGE-B-10",76,13.35,20.95,6.15000000000003,740.1,79.2,45.1,15.7,222.2,159.7,166.2,181.1,8.8,0.355999994277954,578.6,26.7500000000001,2.05000000000001,24.7,15.7500000000001,20.55
"GCA_946404385.1","BARA-C-5.PacbioHiFiAssembly","BARA-C-5","France",44.270842,2.427551,"BARA-C-5",77,9.95000000000005,17.2500000000001,3.25000000000006,1206.2,125,64.8,16.4,342.3,246.2,250.2,310.7,7.9,0.342000007629395,549,22.85,-0.349999999999966,23.2,6.85000000000002,16.85
"GCA_946404515.1","IP-San-9.PacbioHiFiAssembly","IP-San-9","Spain",38.331366,-3.508882,"IP-San-9",78,15.85,25.45,7.35000000000002,550.5,88.4,4.7,52,218.8,37.5,37.5,191.8,10.9,0.348000001907349,707.6,32.85,1.55000000000001,31.3,11.45,25.45
"GCA_946404995.1","BANI-C-1.PacbioHiFiAssembly","BANI-C-1","France",43.043644,0.234303,"BANI-C-1",79,12.05,19.15,5.35000000000002,1258.8,129.5,78.1,17.8,371.7,247.4,250.3,330.8,8.4,0.363000011444092,540.5,24.05,0.950000000000045,23.1,6.15000000000003,18.85
"GCA_946405265.1","IP-Met-6.PacbioHiFiAssembly","IP-Met-6","Spain",40.261667,-4.154601,"IP-Met-6",80,15.2500000000001,25.05,6.45000000000005,511.1,73.8,9,50.6,214.8,44,44,161.9,11.1,0.352999997138977,720.4,32.35,0.950000000000045,31.4,10.55,25.05
"GCA_946405525.1","FERR-A-12.PacbioHiFiAssembly","FERR-A-12","France",43.657743,2.44371,"FERR-A-12",81,11.2500000000001,18.65,4.45000000000005,1675.1,185.9,72.3,25.4,544.8,271.2,275.6,513.4,7.6,0.325999999046326,557.8,24.05,0.850000000000023,23.2,5.35000000000002,18.35
"GCA_946405545.1","IP-Evs-12.PacbioHiFiAssembly","IP-Evs-12","Spain",40.479175,-3.959696,"IP-Evs-12",82,14.95,24.7500000000001,6.35000000000002,593.8,83.5,13.3,48.6,244.9,57.6,57.6,181.4,10.5,0.342000007629395,714.4,31.85,1.05000000000001,30.8,10.35,24.7500000000001
"GCA_946405725.1","IP-Med-0.PacbioHiFiAssembly","IP-Med-0","Spain",42.455239,-6.765742,"IP-Med-0",83,11.55,18.55,5.25000000000006,1145,178.8,29.4,46.2,465.8,109.8,109.8,397.9,9.6,0.388000011444092,521.6,24.85,0.250000000000057,24.6,8.45000000000005,18.55
"GCA_946405905.1","MONTM-B-16.PacbioHiFiAssembly","MONTM-B-16","France",42.861218,0.596869,"MONTM-B-16",84,10.45,17.85,3.45000000000005,1158.6,120.2,75.5,15.4,327.5,248.2,249.4,292.4,8.6,0.359999990463257,565.1,22.7500000000001,-1.14999999999998,23.9,9.05000000000001,17.55
"GCA_946406325.1","IP-Alo-0.9506.PacbioHiFiAssembly","IP-Alo-0.9506","Spain",40.109691,-7.476146,"IP-Alo-0 (9506)",85,12.95,20.65,6.35000000000002,1257.1,214.3,12,61,566.7,64.5,64.5,491.6,9.6,0.36800000667572,561.6,27.95,1.75000000000006,26.2,9.65000000000003,20.65
"GCA_946406525.1","Ler-0.7213.PacbioHiFiAssembly","Ler-0.7213","Poland",52.7325,15.2369,"Ler-0 (7213)",86,9.25000000000006,18.2500000000001,0.450000000000045,590.5,75.1,34.5,24.1,201.6,114.7,201.6,123.8,7.2,0.276999998092651,693.6,23.55,-2.54999999999995,26.1,18.2500000000001,4.65000000000003
"GCA_946406595.1","BANI-C-12.PacbioHiFiAssembly","BANI-C-12","France",43.043644,0.234303,"BANI-C-12",87,12.05,19.15,5.35000000000002,1258.8,129.5,78.1,17.8,371.7,247.4,250.3,330.8,8.4,0.363000011444092,540.5,24.05,0.950000000000045,23.1,6.15000000000003,18.85
